Plot Title: 20687634,,,,,,
#,"Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20687634, SEN S/N: 20687634)","Temp, °C (LGR S/N: 20687634, SEN S/N: 20687634)",Coupler Attached (LGR S/N: 20687634),Stopped (LGR S/N: 20687634),End Of File (LGR S/N: 20687634)
1,9/6/2019 11:00,8.52,23.74,,,
2,9/6/2019 12:00,9.73,15.3,,,
3,9/6/2019 13:00,9.94,15.42,,,
4,9/6/2019 14:00,9.72,16.2,,,
5,9/6/2019 15:00,9.58,16.94,,,
6,9/6/2019 16:00,9.49,17.42,,,
7,9/6/2019 17:00,9.41,17.38,,,
8,9/6/2019 18:00,9.35,16.82,,,
9,9/6/2019 19:00,9.31,16.28,,,
10,9/6/2019 20:00,9.27,15.88,,,
11,9/6/2019 21:00,9.27,15.5,,,
12,9/6/2019 22:00,9.27,15.2,,,
13,9/6/2019 23:00,9.34,14.88,,,
14,9/7/2019 0:00,9.43,14.64,,,
15,9/7/2019 1:00,9.51,14.44,,,
16,9/7/2019 2:00,9.52,14.3,,,
17,9/7/2019 3:00,9.48,14.18,,,
18,9/7/2019 4:00,9.5,14.12,,,
19,9/7/2019 5:00,9.53,14.04,,,
20,9/7/2019 6:00,9.55,13.98,,,
21,9/7/2019 7:00,9.62,13.94,,,
22,9/7/2019 8:00,9.69,13.92,,,
23,9/7/2019 9:00,9.79,13.96,,,
24,9/7/2019 10:00,9.91,14.02,,,
25,9/7/2019 11:00,10.02,14.18,,,
26,9/7/2019 12:00,10.03,14.5,,,
27,9/7/2019 13:00,9.98,14.86,,,
28,9/7/2019 14:00,9.93,15.18,,,
29,9/7/2019 15:00,9.82,15.28,,,
30,9/7/2019 16:00,9.82,15.58,,,
31,9/7/2019 17:00,9.79,15.58,,,
32,9/7/2019 18:00,9.66,15.46,,,
33,9/7/2019 19:00,9.55,15.28,,,
34,9/7/2019 20:00,9.44,15.08,,,
35,9/7/2019 21:00,9.34,14.86,,,
36,9/7/2019 22:00,9.35,14.7,,,
37,9/7/2019 23:00,9.39,14.54,,,
38,9/8/2019 0:00,9.43,14.4,,,
39,9/8/2019 1:00,9.46,14.28,,,
40,9/8/2019 2:00,9.5,14.18,,,
41,9/8/2019 3:00,9.48,14.12,,,
42,9/8/2019 4:00,9.5,14.06,,,
43,9/8/2019 5:00,9.52,14,,,
44,9/8/2019 6:00,9.57,13.96,,,
45,9/8/2019 7:00,9.57,13.94,,,
46,9/8/2019 8:00,9.64,13.92,,,
47,9/8/2019 9:00,9.78,13.98,,,
48,9/8/2019 10:00,9.89,14.12,,,
49,9/8/2019 11:00,9.94,14.42,,,
50,9/8/2019 12:00,9.91,14.64,,,
51,9/8/2019 13:00,9.86,14.74,,,
52,9/8/2019 14:00,9.79,14.8,,,
53,9/8/2019 15:00,9.76,14.88,,,
54,9/8/2019 16:00,9.84,15.22,,,
55,9/8/2019 17:00,9.69,15.28,,,
56,9/8/2019 18:00,9.58,15.24,,,
57,9/8/2019 19:00,9.48,15.1,,,
58,9/8/2019 20:00,9.47,14.9,,,
59,9/8/2019 21:00,9.42,14.68,,,
60,9/8/2019 22:00,9.43,14.48,,,
61,9/8/2019 23:00,9.44,14.32,,,
62,9/9/2019 0:00,9.54,14.16,,,
63,9/9/2019 1:00,9.58,14,,,
64,9/9/2019 2:00,9.64,13.88,,,
65,9/9/2019 3:00,9.69,13.8,,,
66,9/9/2019 4:00,9.72,13.72,,,
67,9/9/2019 5:00,9.77,13.62,,,
68,9/9/2019 6:00,9.77,13.56,,,
69,9/9/2019 7:00,9.82,13.52,,,
70,9/9/2019 8:00,9.91,13.48,,,
71,9/9/2019 9:00,9.97,13.5,,,
72,9/9/2019 10:00,10.05,13.6,,,
73,9/9/2019 11:00,10.13,13.88,,,
74,9/9/2019 12:00,10.09,14.28,,,
75,9/9/2019 13:00,9.97,14.6,,,
76,9/9/2019 14:00,9.88,14.76,,,
77,9/9/2019 15:00,9.85,14.74,,,
78,9/9/2019 16:00,9.86,14.68,,,
79,9/9/2019 17:00,9.91,14.86,,,
80,9/9/2019 18:00,9.83,14.94,,,
81,9/9/2019 19:00,9.73,14.8,,,
82,9/9/2019 20:00,9.6,14.58,,,
83,9/9/2019 21:00,9.6,14.3,,,
84,9/9/2019 22:00,9.62,14.08,,,
85,9/9/2019 23:00,9.69,13.9,,,
86,9/10/2019 0:00,9.72,13.78,,,
87,9/10/2019 1:00,9.74,13.66,,,
88,9/10/2019 2:00,9.77,13.56,,,
89,9/10/2019 3:00,9.82,13.46,,,
90,9/10/2019 4:00,9.88,13.36,,,
91,9/10/2019 5:00,9.86,13.3,,,
92,9/10/2019 6:00,9.95,13.2,,,
93,9/10/2019 7:00,9.99,13.12,,,
94,9/10/2019 8:00,10.08,13.12,,,
95,9/10/2019 9:00,10.21,13.22,,,
96,9/10/2019 10:00,10.23,13.5,,,
97,9/10/2019 11:00,10.18,13.84,,,
98,9/10/2019 12:00,10.1,14.28,,,
99,9/10/2019 13:00,9.98,14.8,,,
100,9/10/2019 14:00,9.86,15.44,,,
101,9/10/2019 15:00,9.65,16.1,,,
102,9/10/2019 16:00,9.61,16.36,,,
103,9/10/2019 17:00,9.55,16.16,,,
104,9/10/2019 18:00,9.54,15.64,,,
105,9/10/2019 19:00,9.57,15.1,,,
106,9/10/2019 20:00,9.59,14.58,,,
107,9/10/2019 21:00,9.65,14.22,,,
108,9/10/2019 22:00,9.71,13.94,,,
109,9/10/2019 23:00,9.78,13.66,,,
110,9/11/2019 0:00,9.86,13.38,,,
111,9/11/2019 1:00,9.97,13.14,,,
112,9/11/2019 2:00,10.01,12.96,,,
113,9/11/2019 3:00,10.02,12.84,,,
114,9/11/2019 4:00,10.07,12.78,,,
115,9/11/2019 5:00,10.09,12.76,,,
116,9/11/2019 6:00,10.1,12.76,,,
117,9/11/2019 7:00,10.16,12.7,,,
118,9/11/2019 8:00,10.25,12.72,,,
119,9/11/2019 9:00,10.35,12.8,,,
120,9/11/2019 10:00,10.43,12.94,,,
121,9/11/2019 11:00,10.4,13.26,,,
122,9/11/2019 12:00,10.32,13.68,,,
123,9/11/2019 13:00,10.29,14.1,,,
124,9/11/2019 14:00,10.19,14.54,,,
125,9/11/2019 15:00,10.11,14.82,,,
126,9/11/2019 16:00,10.02,15.1,,,
127,9/11/2019 17:00,9.95,15.16,,,
128,9/11/2019 18:00,9.88,15.06,,,
129,9/11/2019 19:00,9.77,14.9,,,
130,9/11/2019 20:00,9.72,14.58,,,
131,9/11/2019 21:00,9.73,14.24,,,
132,9/11/2019 22:00,9.81,13.96,,,
133,9/11/2019 23:00,9.84,13.74,,,
134,9/12/2019 0:00,9.91,13.54,,,
135,9/12/2019 1:00,9.93,13.38,,,
136,9/12/2019 2:00,9.97,13.26,,,
137,9/12/2019 3:00,9.97,13.16,,,
138,9/12/2019 4:00,10.01,13.08,,,
139,9/12/2019 5:00,10.02,13.02,,,
140,9/12/2019 6:00,10.04,12.96,,,
141,9/12/2019 7:00,10.04,12.9,,,
142,9/12/2019 8:00,10.16,12.88,,,
143,9/12/2019 9:00,10.26,12.94,,,
144,9/12/2019 10:00,10.37,13.12,,,
145,9/12/2019 11:00,10.31,13.42,,,
146,9/12/2019 12:00,10.22,13.66,,,
147,9/12/2019 13:00,10.2,13.82,,,
148,9/12/2019 14:00,10.15,14,,,
149,9/12/2019 15:00,10.17,14.44,,,
150,9/12/2019 16:00,9.94,14.72,,,
151,9/12/2019 17:00,9.8,14.74,,,
152,9/12/2019 18:00,9.66,14.6,,,
153,9/12/2019 19:00,9.65,14.44,,,
154,9/12/2019 20:00,9.63,14.32,,,
155,9/12/2019 21:00,9.67,14.16,,,
156,9/12/2019 22:00,9.72,13.98,,,
157,9/12/2019 23:00,9.77,13.78,,,
158,9/13/2019 0:00,9.81,13.58,,,
159,9/13/2019 1:00,9.84,13.4,,,
160,9/13/2019 2:00,9.88,13.26,,,
161,9/13/2019 3:00,9.92,13.18,,,
162,9/13/2019 4:00,9.96,13.12,,,
163,9/13/2019 5:00,9.95,13.1,,,
164,9/13/2019 6:00,10.01,12.98,,,
165,9/13/2019 7:00,10.08,12.86,,,
166,9/13/2019 8:00,10.23,12.78,,,
167,9/13/2019 9:00,10.38,12.82,,,
168,9/13/2019 10:00,10.43,12.98,,,
