row.num,datetime,temperature
5,2015-06-16T14:46:35Z,13.209
6,2015-06-16T15:46:35Z,13.377
7,2015-06-16T16:46:35Z,13.353
8,2015-06-16T17:46:35Z,13.185
9,2015-06-16T18:46:35Z,12.896
10,2015-06-16T19:46:35Z,12.63
11,2015-06-16T20:46:35Z,12.292
12,2015-06-16T21:46:35Z,11.929
13,2015-06-16T22:46:35Z,11.637
14,2015-06-16T23:46:35Z,11.37
15,2015-06-17T00:46:35Z,11.175
16,2015-06-17T01:46:35Z,11.029
17,2015-06-17T02:46:35Z,10.907
18,2015-06-17T03:46:35Z,10.761
19,2015-06-17T04:46:35Z,10.614
20,2015-06-17T05:46:35Z,10.467
21,2015-06-17T06:46:35Z,10.296
22,2015-06-17T07:46:35Z,10.198
23,2015-06-17T08:46:35Z,10.222
24,2015-06-17T09:46:35Z,10.443
25,2015-06-17T10:46:35Z,10.907
26,2015-06-17T11:46:35Z,11.54
27,2015-06-17T12:46:35Z,12.219
28,2015-06-17T13:46:35Z,12.751
29,2015-06-17T14:46:35Z,13.088
30,2015-06-17T15:46:35Z,13.281
31,2015-06-17T16:46:35Z,13.329
32,2015-06-17T17:46:35Z,13.185
33,2015-06-17T18:46:35Z,12.92
34,2015-06-17T19:46:35Z,12.63
35,2015-06-17T20:46:35Z,12.316
36,2015-06-17T21:46:35Z,12.025
37,2015-06-17T22:46:35Z,11.759
38,2015-06-17T23:46:35Z,11.54
39,2015-06-18T00:46:35Z,11.37
40,2015-06-18T01:46:35Z,11.224
41,2015-06-18T02:46:35Z,11.102
42,2015-06-18T03:46:35Z,10.98
43,2015-06-18T04:46:35Z,10.907
44,2015-06-18T05:46:35Z,10.834
45,2015-06-18T06:46:35Z,10.785
46,2015-06-18T07:46:35Z,10.761
47,2015-06-18T08:46:35Z,10.761
48,2015-06-18T09:46:35Z,10.956
49,2015-06-18T10:46:35Z,11.394
50,2015-06-18T11:46:35Z,11.783
51,2015-06-18T12:46:35Z,11.613
52,2015-06-18T13:46:35Z,11.637
53,2015-06-18T14:46:35Z,11.71
54,2015-06-18T15:46:35Z,11.71
55,2015-06-18T16:46:35Z,11.565
56,2015-06-18T17:46:35Z,11.443
57,2015-06-18T18:46:35Z,11.321
58,2015-06-18T19:46:35Z,11.175
59,2015-06-18T20:46:35Z,11.102
60,2015-06-18T21:46:35Z,10.98
61,2015-06-18T22:46:35Z,10.907
62,2015-06-18T23:46:35Z,10.834
63,2015-06-19T00:46:35Z,10.761
64,2015-06-19T01:46:35Z,10.663
65,2015-06-19T02:46:35Z,10.59
66,2015-06-19T03:46:35Z,10.516
67,2015-06-19T04:46:35Z,10.443
68,2015-06-19T05:46:35Z,10.369
69,2015-06-19T06:46:35Z,10.345
70,2015-06-19T07:46:35Z,10.345
71,2015-06-19T08:46:35Z,10.443
72,2015-06-19T09:46:35Z,10.443
73,2015-06-19T10:46:35Z,10.394
74,2015-06-19T11:46:35Z,10.394
75,2015-06-19T12:46:35Z,10.443
76,2015-06-19T13:46:35Z,10.565
77,2015-06-19T14:46:35Z,10.614
78,2015-06-19T15:46:35Z,10.712
79,2015-06-19T16:46:35Z,10.883
80,2015-06-19T17:46:35Z,11.053
81,2015-06-19T18:46:35Z,11.102
82,2015-06-19T19:46:35Z,11.078
83,2015-06-19T20:46:35Z,11.053
84,2015-06-19T21:46:35Z,11.053
85,2015-06-19T22:46:35Z,10.98
86,2015-06-19T23:46:35Z,10.81
87,2015-06-20T00:46:35Z,10.663
88,2015-06-20T01:46:35Z,10.565
89,2015-06-20T02:46:35Z,10.443
90,2015-06-20T03:46:35Z,10.32
91,2015-06-20T04:46:35Z,10.222
92,2015-06-20T05:46:35Z,10.124
93,2015-06-20T06:46:35Z,10.051
94,2015-06-20T07:46:35Z,10.026
95,2015-06-20T08:46:35Z,10.001
96,2015-06-20T09:46:35Z,10.173
97,2015-06-20T10:46:35Z,10.565
98,2015-06-20T11:46:35Z,11.224
99,2015-06-20T12:46:35Z,11.807
100,2015-06-20T13:46:35Z,12.316
101,2015-06-20T14:46:35Z,12.606
102,2015-06-20T15:46:35Z,12.727
103,2015-06-20T16:46:35Z,12.727
104,2015-06-20T17:46:35Z,12.606
105,2015-06-20T18:46:35Z,12.34
106,2015-06-20T19:46:35Z,12.147
107,2015-06-20T20:46:35Z,11.856
108,2015-06-20T21:46:35Z,11.565
109,2015-06-20T22:46:35Z,11.297
110,2015-06-20T23:46:35Z,11.053
111,2015-06-21T00:46:35Z,10.858
112,2015-06-21T01:46:35Z,10.687
113,2015-06-21T02:46:35Z,10.516
114,2015-06-21T03:46:35Z,10.394
115,2015-06-21T04:46:35Z,10.247
116,2015-06-21T05:46:35Z,10.124
117,2015-06-21T06:46:35Z,10.051
118,2015-06-21T07:46:35Z,10.026
119,2015-06-21T08:46:35Z,10.075
120,2015-06-21T09:46:35Z,10.296
121,2015-06-21T10:46:35Z,10.565
122,2015-06-21T11:46:35Z,10.907
123,2015-06-21T12:46:35Z,11.37
124,2015-06-21T13:46:35Z,12.05
125,2015-06-21T14:46:35Z,12.509
126,2015-06-21T15:46:35Z,12.823
127,2015-06-21T16:46:35Z,12.944
128,2015-06-21T17:46:35Z,12.944
129,2015-06-21T18:46:35Z,12.727
130,2015-06-21T19:46:35Z,12.534
131,2015-06-21T20:46:35Z,12.243
132,2015-06-21T21:46:35Z,11.929
133,2015-06-21T22:46:35Z,11.662
134,2015-06-21T23:46:35Z,11.419
135,2015-06-22T00:46:35Z,11.2
136,2015-06-22T01:46:35Z,11.005
137,2015-06-22T02:46:35Z,10.81
138,2015-06-22T03:46:35Z,10.638
139,2015-06-22T04:46:35Z,10.467
140,2015-06-22T05:46:35Z,10.32
141,2015-06-22T06:46:35Z,10.198
142,2015-06-22T07:46:35Z,10.124
143,2015-06-22T08:46:35Z,10.173
144,2015-06-22T09:46:35Z,10.467
145,2015-06-22T10:46:35Z,10.834
146,2015-06-22T11:46:35Z,11.273
147,2015-06-22T12:46:35Z,11.88
148,2015-06-22T13:46:35Z,12.098
149,2015-06-22T14:46:35Z,12.534
150,2015-06-22T15:46:35Z,12.654
151,2015-06-22T16:46:35Z,12.678
152,2015-06-22T17:46:35Z,12.534
153,2015-06-22T18:46:35Z,12.34
154,2015-06-22T19:46:35Z,12.074
155,2015-06-22T20:46:35Z,11.807
156,2015-06-22T21:46:35Z,11.516
157,2015-06-22T22:46:35Z,11.297
158,2015-06-22T23:46:35Z,11.102
159,2015-06-23T00:46:35Z,10.932
160,2015-06-23T01:46:35Z,10.761
161,2015-06-23T02:46:35Z,10.59
162,2015-06-23T03:46:35Z,10.443
163,2015-06-23T04:46:35Z,10.296
164,2015-06-23T05:46:35Z,10.149
165,2015-06-23T06:46:35Z,10.026
166,2015-06-23T07:46:35Z,9.952
167,2015-06-23T08:46:35Z,9.977
168,2015-06-23T09:46:35Z,10.222
169,2015-06-23T10:46:35Z,10.712
170,2015-06-23T11:46:35Z,11.419
171,2015-06-23T12:46:35Z,12.122
172,2015-06-23T13:46:35Z,12.678
173,2015-06-23T14:46:35Z,13.064
174,2015-06-23T15:46:35Z,13.305
175,2015-06-23T16:46:35Z,13.329
176,2015-06-23T17:46:35Z,13.137
177,2015-06-23T18:46:35Z,12.823
178,2015-06-23T19:46:35Z,12.63
179,2015-06-23T20:46:35Z,12.316
180,2015-06-23T21:46:35Z,12.001
181,2015-06-23T22:46:35Z,11.759
182,2015-06-23T23:46:35Z,11.565
183,2015-06-24T00:46:35Z,11.394
184,2015-06-24T01:46:35Z,11.297
185,2015-06-24T02:46:35Z,11.2
186,2015-06-24T03:46:35Z,11.127
187,2015-06-24T04:46:35Z,11.029
188,2015-06-24T05:46:35Z,10.932
189,2015-06-24T06:46:35Z,10.834
190,2015-06-24T07:46:35Z,10.761
191,2015-06-24T08:46:35Z,10.858
192,2015-06-24T09:46:35Z,11.078
193,2015-06-24T10:46:35Z,11.589
194,2015-06-24T11:46:35Z,11.807
195,2015-06-24T12:46:35Z,11.856
196,2015-06-24T13:46:35Z,11.783
197,2015-06-24T14:46:35Z,12.025
198,2015-06-24T15:46:35Z,12.316
199,2015-06-24T16:46:35Z,12.485
200,2015-06-24T17:46:35Z,12.582
201,2015-06-24T18:46:35Z,12.413
202,2015-06-24T19:46:35Z,12.122
203,2015-06-24T20:46:35Z,11.904
204,2015-06-24T21:46:35Z,11.686
205,2015-06-24T22:46:35Z,11.54
206,2015-06-24T23:46:35Z,11.419
207,2015-06-25T00:46:35Z,11.321
208,2015-06-25T01:46:35Z,11.224
209,2015-06-25T02:46:35Z,11.102
210,2015-06-25T03:46:35Z,11.005
211,2015-06-25T04:46:35Z,10.907
212,2015-06-25T05:46:35Z,10.834
213,2015-06-25T06:46:35Z,10.736
214,2015-06-25T07:46:35Z,10.712
215,2015-06-25T08:46:35Z,10.761
216,2015-06-25T09:46:35Z,10.98
217,2015-06-25T10:46:35Z,11.54
218,2015-06-25T11:46:35Z,12.268
219,2015-06-25T12:46:35Z,13.064
220,2015-06-25T13:46:35Z,13.642
221,2015-06-25T14:46:35Z,14.074
222,2015-06-25T15:46:35Z,14.337
