"Plot Title: Upper Dungeness"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10490312, SEN S/N: 10490312)","Coupler Detached (LGR S/N: 10490312)","Coupler Attached (LGR S/N: 10490312)","Stopped (LGR S/N: 10490312)","End Of File (LGR S/N: 10490312)"
1,06/16/15 10:43:04 AM,24.677,Logged,,,
2,06/16/15 11:43:04 AM,25.744,,,,
3,06/16/15 12:43:04 PM,26.720,,,,
4,06/16/15 01:43:04 PM,11.370,,,,
5,06/16/15 02:43:04 PM,11.710,,,,
6,06/16/15 03:43:04 PM,11.637,,,,
7,06/16/15 04:43:04 PM,11.540,,,,
8,06/16/15 05:43:04 PM,11.467,,,,
9,06/16/15 06:43:04 PM,11.394,,,,
10,06/16/15 07:43:04 PM,11.273,,,,
11,06/16/15 08:43:04 PM,11.127,,,,
12,06/16/15 09:43:04 PM,10.907,,,,
13,06/16/15 10:43:04 PM,10.761,,,,
14,06/16/15 11:43:04 PM,10.638,,,,
15,06/17/15 12:43:04 AM,10.541,,,,
16,06/17/15 01:43:04 AM,10.443,,,,
17,06/17/15 02:43:04 AM,10.345,,,,
18,06/17/15 03:43:04 AM,10.198,,,,
19,06/17/15 04:43:04 AM,10.051,,,,
20,06/17/15 05:43:04 AM,9.854,,,,
21,06/17/15 06:43:04 AM,9.657,,,,
22,06/17/15 07:43:04 AM,9.485,,,,
23,06/17/15 08:43:04 AM,9.336,,,,
24,06/17/15 09:43:04 AM,9.336,,,,
25,06/17/15 10:43:04 AM,9.509,,,,
26,06/17/15 11:43:04 AM,9.977,,,,
27,06/17/15 12:43:04 PM,10.565,,,,
28,06/17/15 01:43:04 PM,11.102,,,,
29,06/17/15 02:43:04 PM,11.443,,,,
30,06/17/15 03:43:04 PM,11.443,,,,
31,06/17/15 04:43:04 PM,11.370,,,,
32,06/17/15 05:43:04 PM,11.346,,,,
33,06/17/15 06:43:04 PM,11.273,,,,
34,06/17/15 07:43:04 PM,11.175,,,,
35,06/17/15 08:43:04 PM,11.078,,,,
36,06/17/15 09:43:04 PM,10.956,,,,
37,06/17/15 10:43:04 PM,10.883,,,,
38,06/17/15 11:43:04 PM,10.834,,,,
39,06/18/15 12:43:04 AM,10.785,,,,
40,06/18/15 01:43:04 AM,10.712,,,,
41,06/18/15 02:43:04 AM,10.614,,,,
42,06/18/15 03:43:04 AM,10.516,,,,
43,06/18/15 04:43:04 AM,10.394,,,,
44,06/18/15 05:43:04 AM,10.296,,,,
45,06/18/15 06:43:04 AM,10.198,,,,
46,06/18/15 07:43:04 AM,10.149,,,,
47,06/18/15 08:43:04 AM,10.051,,,,
48,06/18/15 09:43:04 AM,10.051,,,,
49,06/18/15 10:43:04 AM,10.222,,,,
50,06/18/15 11:43:04 AM,10.614,,,,
51,06/18/15 12:43:04 PM,10.736,,,,
52,06/18/15 01:43:04 PM,10.687,,,,
53,06/18/15 02:43:04 PM,10.785,,,,
54,06/18/15 03:43:04 PM,10.956,,,,
55,06/18/15 04:43:04 PM,10.932,,,,
56,06/18/15 05:43:04 PM,10.883,,,,
57,06/18/15 06:43:04 PM,10.883,,,,
58,06/18/15 07:43:04 PM,10.810,,,,
59,06/18/15 08:43:04 PM,10.736,,,,
60,06/18/15 09:43:04 PM,10.687,,,,
61,06/18/15 10:43:04 PM,10.614,,,,
62,06/18/15 11:43:04 PM,10.541,,,,
63,06/19/15 12:43:04 AM,10.443,,,,
