"Plot Title: Upper Greywolf"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10490199, SEN S/N: 10490199)","Coupler Detached (LGR S/N: 10490199)","Coupler Attached (LGR S/N: 10490199)","Stopped (LGR S/N: 10490199)","End Of File (LGR S/N: 10490199)"
1,06/16/15 10:46:35 AM,24.653,Logged,,,
2,06/16/15 11:46:35 AM,25.793,,,,
3,06/16/15 12:46:35 PM,26.646,,,,
4,06/16/15 01:46:35 PM,12.871,,,,
5,06/16/15 02:46:35 PM,13.209,,,,
6,06/16/15 03:46:35 PM,13.377,,,,
7,06/16/15 04:46:35 PM,13.353,,,,
8,06/16/15 05:46:35 PM,13.185,,,,
9,06/16/15 06:46:35 PM,12.896,,,,
10,06/16/15 07:46:35 PM,12.630,,,,
11,06/16/15 08:46:35 PM,12.292,,,,
12,06/16/15 09:46:35 PM,11.929,,,,
13,06/16/15 10:46:35 PM,11.637,,,,
14,06/16/15 11:46:35 PM,11.370,,,,
15,06/17/15 12:46:35 AM,11.175,,,,
16,06/17/15 01:46:35 AM,11.029,,,,
17,06/17/15 02:46:35 AM,10.907,,,,
18,06/17/15 03:46:35 AM,10.761,,,,
19,06/17/15 04:46:35 AM,10.614,,,,
20,06/17/15 05:46:35 AM,10.467,,,,
21,06/17/15 06:46:35 AM,10.296,,,,
22,06/17/15 07:46:35 AM,10.198,,,,
23,06/17/15 08:46:35 AM,10.222,,,,
24,06/17/15 09:46:35 AM,10.443,,,,
25,06/17/15 10:46:35 AM,10.907,,,,
26,06/17/15 11:46:35 AM,11.540,,,,
27,06/17/15 12:46:35 PM,12.219,,,,
28,06/17/15 01:46:35 PM,12.751,,,,
29,06/17/15 02:46:35 PM,13.088,,,,
30,06/17/15 03:46:35 PM,13.281,,,,
31,06/17/15 04:46:35 PM,13.329,,,,
32,06/17/15 05:46:35 PM,13.185,,,,
33,06/17/15 06:46:35 PM,12.920,,,,
34,06/17/15 07:46:35 PM,12.630,,,,
35,06/17/15 08:46:35 PM,12.316,,,,
36,06/17/15 09:46:35 PM,12.025,,,,
37,06/17/15 10:46:35 PM,11.759,,,,
38,06/17/15 11:46:35 PM,11.540,,,,
39,06/18/15 12:46:35 AM,11.370,,,,
40,06/18/15 01:46:35 AM,11.224,,,,
41,06/18/15 02:46:35 AM,11.102,,,,
42,06/18/15 03:46:35 AM,10.980,,,,
43,06/18/15 04:46:35 AM,10.907,,,,
44,06/18/15 05:46:35 AM,10.834,,,,
45,06/18/15 06:46:35 AM,10.785,,,,
46,06/18/15 07:46:35 AM,10.761,,,,
47,06/18/15 08:46:35 AM,10.761,,,,
48,06/18/15 09:46:35 AM,10.956,,,,
49,06/18/15 10:46:35 AM,11.394,,,,
50,06/18/15 11:46:35 AM,11.783,,,,
51,06/18/15 12:46:35 PM,11.613,,,,
52,06/18/15 01:46:35 PM,11.637,,,,
53,06/18/15 02:46:35 PM,11.710,,,,
54,06/18/15 03:46:35 PM,11.710,,,,
55,06/18/15 04:46:35 PM,11.565,,,,
56,06/18/15 05:46:35 PM,11.443,,,,
57,06/18/15 06:46:35 PM,11.321,,,,
58,06/18/15 07:46:35 PM,11.175,,,,
59,06/18/15 08:46:35 PM,11.102,,,,
60,06/18/15 09:46:35 PM,10.980,,,,
61,06/18/15 10:46:35 PM,10.907,,,,
62,06/18/15 11:46:35 PM,10.834,,,,
63,06/19/15 12:46:35 AM,10.761,,,,
64,06/19/15 01:46:35 AM,10.663,,,,
65,06/19/15 02:46:35 AM,10.590,,,,
66,06/19/15 03:46:35 AM,10.516,,,,
67,06/19/15 04:46:35 AM,10.443,,,,
68,06/19/15 05:46:35 AM,10.369,,,,
69,06/19/15 06:46:35 AM,10.345,,,,
70,06/19/15 07:46:35 AM,10.345,,,,
71,06/19/15 08:46:35 AM,10.443,,,,
72,06/19/15 09:46:35 AM,10.443,,,,
73,06/19/15 10:46:35 AM,10.394,,,,
74,06/19/15 11:46:35 AM,10.394,,,,
75,06/19/15 12:46:35 PM,10.443,,,,
76,06/19/15 01:46:35 PM,10.565,,,,
77,06/19/15 02:46:35 PM,10.614,,,,
78,06/19/15 03:46:35 PM,10.712,,,,
79,06/19/15 04:46:35 PM,10.883,,,,
80,06/19/15 05:46:35 PM,11.053,,,,
81,06/19/15 06:46:35 PM,11.102,,,,
82,06/19/15 07:46:35 PM,11.078,,,,
83,06/19/15 08:46:35 PM,11.053,,,,
84,06/19/15 09:46:35 PM,11.053,,,,
85,06/19/15 10:46:35 PM,10.980,,,,
86,06/19/15 11:46:35 PM,10.810,,,,
87,06/20/15 12:46:35 AM,10.663,,,,
88,06/20/15 01:46:35 AM,10.565,,,,
89,06/20/15 02:46:35 AM,10.443,,,,
90,06/20/15 03:46:35 AM,10.320,,,,
91,06/20/15 04:46:35 AM,10.222,,,,
92,06/20/15 05:46:35 AM,10.124,,,,
93,06/20/15 06:46:35 AM,10.051,,,,
94,06/20/15 07:46:35 AM,10.026,,,,
95,06/20/15 08:46:35 AM,10.001,,,,
96,06/20/15 09:46:35 AM,10.173,,,,
97,06/20/15 10:46:35 AM,10.565,,,,
98,06/20/15 11:46:35 AM,11.224,,,,
99,06/20/15 12:46:35 PM,11.807,,,,
100,06/20/15 01:46:35 PM,12.316,,,,
101,06/20/15 02:46:35 PM,12.606,,,,
102,06/20/15 03:46:35 PM,12.727,,,,
103,06/20/15 04:46:35 PM,12.727,,,,
104,06/20/15 05:46:35 PM,12.606,,,,
105,06/20/15 06:46:35 PM,12.340,,,,
106,06/20/15 07:46:35 PM,12.147,,,,
107,06/20/15 08:46:35 PM,11.856,,,,
108,06/20/15 09:46:35 PM,11.565,,,,
109,06/20/15 10:46:35 PM,11.297,,,,
