"Plot Title: 10490315-JCL"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10490315, SEN S/N: 10490315)","Coupler Detached (LGR S/N: 10490315)","Coupler Attached (LGR S/N: 10490315)","Stopped (LGR S/N: 10490315)","End Of File (LGR S/N: 10490315)"
1,06/17/15 10:30:00 AM,26.378,Logged,,,
2,06/17/15 10:45:00 AM,27.407,,,,
3,06/17/15 11:00:00 AM,26.134,,,,
4,06/17/15 11:15:00 AM,25.355,,,,
5,06/17/15 11:30:00 AM,24.002,,,,
6,06/17/15 11:45:00 AM,23.617,,,,
7,06/17/15 12:00:00 PM,14.553,,,,
8,06/17/15 12:15:00 PM,14.266,,,,
9,06/17/15 12:30:00 PM,14.505,,,,
10,06/17/15 12:45:00 PM,14.721,,,,
11,06/17/15 01:00:00 PM,14.936,,,,
12,06/17/15 01:15:00 PM,15.151,,,,
13,06/17/15 01:30:00 PM,15.342,,,,
14,06/17/15 01:45:00 PM,15.533,,,,
15,06/17/15 02:00:00 PM,15.700,,,,
16,06/17/15 02:15:00 PM,15.867,,,,
17,06/17/15 02:30:00 PM,16.010,,,,
18,06/17/15 02:45:00 PM,16.129,,,,
19,06/17/15 03:00:00 PM,16.249,,,,
20,06/17/15 03:15:00 PM,16.344,,,,
21,06/17/15 03:30:00 PM,16.415,,,,
22,06/17/15 03:45:00 PM,16.463,,,,
23,06/17/15 04:00:00 PM,16.487,,,,
24,06/17/15 04:15:00 PM,16.511,,,,
25,06/17/15 04:30:00 PM,16.487,,,,
26,06/17/15 04:45:00 PM,16.463,,,,
27,06/17/15 05:00:00 PM,16.392,,,,
28,06/17/15 05:15:00 PM,16.320,,,,
29,06/17/15 05:30:00 PM,16.225,,,,
30,06/17/15 05:45:00 PM,16.106,,,,
31,06/17/15 06:00:00 PM,15.986,,,,
32,06/17/15 06:15:00 PM,15.867,,,,
33,06/17/15 06:30:00 PM,15.748,,,,
34,06/17/15 06:45:00 PM,15.629,,,,
35,06/17/15 07:00:00 PM,15.485,,,,
36,06/17/15 07:15:00 PM,15.318,,,,
37,06/17/15 07:30:00 PM,15.175,,,,
38,06/17/15 07:45:00 PM,15.008,,,,
39,06/17/15 08:00:00 PM,14.864,,,,
40,06/17/15 08:15:00 PM,14.745,,,,
41,06/17/15 08:30:00 PM,14.625,,,,
42,06/17/15 08:45:00 PM,14.505,,,,
43,06/17/15 09:00:00 PM,14.385,,,,
44,06/17/15 09:15:00 PM,14.266,,,,
45,06/17/15 09:30:00 PM,14.146,,,,
46,06/17/15 09:45:00 PM,14.026,,,,
47,06/17/15 10:00:00 PM,13.930,,,,
48,06/17/15 10:15:00 PM,13.810,,,,
49,06/17/15 10:30:00 PM,13.690,,,,
50,06/17/15 10:45:00 PM,13.594,,,,
51,06/17/15 11:00:00 PM,13.497,,,,
52,06/17/15 11:15:00 PM,13.425,,,,
53,06/17/15 11:30:00 PM,13.329,,,,
54,06/17/15 11:45:00 PM,13.257,,,,
55,06/18/15 12:00:00 AM,13.185,,,,
56,06/18/15 12:15:00 AM,13.112,,,,
57,06/18/15 12:30:00 AM,13.064,,,,
58,06/18/15 12:45:00 AM,12.992,,,,
59,06/18/15 01:00:00 AM,12.920,,,,
60,06/18/15 01:15:00 AM,12.871,,,,
61,06/18/15 01:30:00 AM,12.823,,,,
62,06/18/15 01:45:00 AM,12.775,,,,
63,06/18/15 02:00:00 AM,12.703,,,,
64,06/18/15 02:15:00 AM,12.654,,,,
65,06/18/15 02:30:00 AM,12.630,,,,
66,06/18/15 02:45:00 AM,12.582,,,,
67,06/18/15 03:00:00 AM,12.534,,,,
68,06/18/15 03:15:00 AM,12.485,,,,
69,06/18/15 03:30:00 AM,12.437,,,,
70,06/18/15 03:45:00 AM,12.413,,,,
71,06/18/15 04:00:00 AM,12.364,,,,
72,06/18/15 04:15:00 AM,12.340,,,,
73,06/18/15 04:30:00 AM,12.292,,,,
74,06/18/15 04:45:00 AM,12.268,,,,
75,06/18/15 05:00:00 AM,12.243,,,,
76,06/18/15 05:15:00 AM,12.195,,,,
77,06/18/15 05:30:00 AM,12.171,,,,
78,06/18/15 05:45:00 AM,12.147,,,,
79,06/18/15 06:00:00 AM,12.122,,,,
80,06/18/15 06:15:00 AM,12.098,,,,
81,06/18/15 06:30:00 AM,12.098,,,,
82,06/18/15 06:45:00 AM,12.098,,,,
83,06/18/15 07:00:00 AM,12.098,,,,
84,06/18/15 07:15:00 AM,12.098,,,,
85,06/18/15 07:30:00 AM,12.122,,,,
86,06/18/15 07:45:00 AM,12.147,,,,
87,06/18/15 08:00:00 AM,12.195,,,,
88,06/18/15 08:15:00 AM,12.243,,,,
89,06/18/15 08:30:00 AM,12.316,,,,
90,06/18/15 08:45:00 AM,12.437,,,,
91,06/18/15 09:00:00 AM,12.606,,,,
92,06/18/15 09:15:00 AM,12.775,,,,
93,06/18/15 09:30:00 AM,12.896,,,,
94,06/18/15 09:45:00 AM,13.040,,,,
95,06/18/15 10:00:00 AM,13.209,,,,
96,06/18/15 10:15:00 AM,13.401,,,,
97,06/18/15 10:30:00 AM,13.522,,,,
98,06/18/15 10:45:00 AM,13.690,,,,
99,06/18/15 11:00:00 AM,13.906,,,,
100,06/18/15 11:15:00 AM,14.122,,,,
101,06/18/15 11:30:00 AM,14.290,,,,
102,06/18/15 11:45:00 AM,14.409,,,,
103,06/18/15 12:00:00 PM,14.433,,,,
104,06/18/15 12:15:00 PM,14.481,,,,
105,06/18/15 12:30:00 PM,14.457,,,,
106,06/18/15 12:45:00 PM,14.577,,,,
107,06/18/15 01:00:00 PM,14.649,,,,
108,06/18/15 01:15:00 PM,14.625,,,,
109,06/18/15 01:30:00 PM,14.529,,,,
110,06/18/15 01:45:00 PM,14.433,,,,
111,06/18/15 02:00:00 PM,14.337,,,,
112,06/18/15 02:15:00 PM,14.242,,,,
113,06/18/15 02:30:00 PM,14.170,,,,
114,06/18/15 02:45:00 PM,14.098,,,,
115,06/18/15 03:00:00 PM,14.074,,,,
116,06/18/15 03:15:00 PM,14.026,,,,
117,06/18/15 03:30:00 PM,14.002,,,,
118,06/18/15 03:45:00 PM,13.978,,,,
119,06/18/15 04:00:00 PM,13.954,,,,
120,06/18/15 04:15:00 PM,13.906,,,,
121,06/18/15 04:30:00 PM,13.834,,,,
122,06/18/15 04:45:00 PM,13.762,,,,
123,06/18/15 05:00:00 PM,13.714,,,,
124,06/18/15 05:15:00 PM,13.642,,,,
125,06/18/15 05:30:00 PM,13.594,,,,
126,06/18/15 05:45:00 PM,13.522,,,,
127,06/18/15 06:00:00 PM,13.449,,,,
128,06/18/15 06:15:00 PM,13.401,,,,
129,06/18/15 06:30:00 PM,13.329,,,,
130,06/18/15 06:45:00 PM,13.281,,,,
131,06/18/15 07:00:00 PM,13.233,,,,
132,06/18/15 07:15:00 PM,13.185,,,,
133,06/18/15 07:30:00 PM,13.137,,,,
134,06/18/15 07:45:00 PM,13.088,,,,
135,06/18/15 08:00:00 PM,13.064,,,,
136,06/18/15 08:15:00 PM,13.016,,,,
137,06/18/15 08:30:00 PM,12.968,,,,
138,06/18/15 08:45:00 PM,12.920,,,,
139,06/18/15 09:00:00 PM,12.871,,,,
140,06/18/15 09:15:00 PM,12.823,,,,
141,06/18/15 09:30:00 PM,12.775,,,,
142,06/18/15 09:45:00 PM,12.727,,,,
143,06/18/15 10:00:00 PM,12.678,,,,
144,06/18/15 10:15:00 PM,12.630,,,,
