"Plot Title: 10683869-Seibert"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10683869, SEN S/N: 10683869)","Batt, V (LGR S/N: 10683869, SEN S/N: 10683869)","Coupler Detached (LGR S/N: 10683869)","Coupler Attached (LGR S/N: 10683869)","Stopped (LGR S/N: 10683869)","End Of File (LGR S/N: 10683869)"
1,06/17/15 10:30:00 AM,26.622,3.02,Logged,,,
2,06/17/15 10:45:00 AM,27.505,3.02,,,,
3,06/17/15 11:00:00 AM,26.182,3.02,,,,
4,06/17/15 11:15:00 AM,25.453,3.02,,,,
5,06/17/15 11:30:00 AM,24.291,3.04,,,,
6,06/17/15 11:45:00 AM,23.641,3.04,,,,
7,06/17/15 12:00:00 PM,23.809,3.04,,,,
8,06/17/15 12:15:00 PM,24.146,3.04,,,,
9,06/17/15 12:30:00 PM,28.147,3.02,,,,
10,06/17/15 12:45:00 PM,15.485,3.04,,,,
11,06/17/15 01:00:00 PM,15.819,3.04,,,,
12,06/17/15 01:15:00 PM,15.867,3.04,,,,
13,06/17/15 01:30:00 PM,16.010,3.04,,,,
14,06/17/15 01:45:00 PM,16.201,3.04,,,,
15,06/17/15 02:00:00 PM,16.368,3.04,,,,
16,06/17/15 02:15:00 PM,16.511,3.04,,,,
17,06/17/15 02:30:00 PM,16.630,3.04,,,,
18,06/17/15 02:45:00 PM,16.725,3.04,,,,
19,06/17/15 03:00:00 PM,16.796,3.04,,,,
20,06/17/15 03:15:00 PM,16.844,3.04,,,,
21,06/17/15 03:30:00 PM,16.892,3.04,,,,
22,06/17/15 03:45:00 PM,16.915,3.04,,,,
23,06/17/15 04:00:00 PM,16.915,3.04,,,,
24,06/17/15 04:15:00 PM,16.892,3.04,,,,
25,06/17/15 04:30:00 PM,16.844,3.04,,,,
26,06/17/15 04:45:00 PM,16.796,3.04,,,,
27,06/17/15 05:00:00 PM,16.749,3.04,,,,
28,06/17/15 05:15:00 PM,16.677,3.04,,,,
29,06/17/15 05:30:00 PM,16.582,3.04,,,,
30,06/17/15 05:45:00 PM,16.511,3.04,,,,
31,06/17/15 06:00:00 PM,16.392,3.04,,,,
32,06/17/15 06:15:00 PM,16.320,3.04,,,,
33,06/17/15 06:30:00 PM,16.225,3.04,,,,
34,06/17/15 06:45:00 PM,16.106,3.04,,,,
35,06/17/15 07:00:00 PM,15.963,3.04,,,,
36,06/17/15 07:15:00 PM,15.843,3.04,,,,
37,06/17/15 07:30:00 PM,15.700,3.04,,,,
38,06/17/15 07:45:00 PM,15.581,3.04,,,,
39,06/17/15 08:00:00 PM,15.438,3.04,,,,
40,06/17/15 08:15:00 PM,15.318,3.04,,,,
41,06/17/15 08:30:00 PM,15.199,3.04,,,,
42,06/17/15 08:45:00 PM,15.079,3.04,,,,
43,06/17/15 09:00:00 PM,14.936,3.06,,,,
44,06/17/15 09:15:00 PM,14.816,3.06,,,,
45,06/17/15 09:30:00 PM,14.697,3.06,,,,
46,06/17/15 09:45:00 PM,14.577,3.06,,,,
47,06/17/15 10:00:00 PM,14.457,3.06,,,,
48,06/17/15 10:15:00 PM,14.337,3.06,,,,
49,06/17/15 10:30:00 PM,14.242,3.06,,,,
50,06/17/15 10:45:00 PM,14.122,3.06,,,,
51,06/17/15 11:00:00 PM,14.050,3.06,,,,
52,06/17/15 11:15:00 PM,13.978,3.06,,,,
53,06/17/15 11:30:00 PM,13.882,3.06,,,,
54,06/17/15 11:45:00 PM,13.810,3.06,,,,
55,06/18/15 12:00:00 AM,13.738,3.06,,,,
56,06/18/15 12:15:00 AM,13.642,3.06,,,,
57,06/18/15 12:30:00 AM,13.570,3.06,,,,
58,06/18/15 12:45:00 AM,13.497,3.06,,,,
59,06/18/15 01:00:00 AM,13.449,3.06,,,,
60,06/18/15 01:15:00 AM,13.377,3.06,,,,
61,06/18/15 01:30:00 AM,13.329,3.06,,,,
62,06/18/15 01:45:00 AM,13.257,3.04,,,,
63,06/18/15 02:00:00 AM,13.209,3.04,,,,
64,06/18/15 02:15:00 AM,13.161,3.04,,,,
65,06/18/15 02:30:00 AM,13.112,3.04,,,,
66,06/18/15 02:45:00 AM,13.064,3.04,,,,
67,06/18/15 03:00:00 AM,12.992,3.04,,,,
68,06/18/15 03:15:00 AM,12.944,3.04,,,,
69,06/18/15 03:30:00 AM,12.920,3.04,,,,
70,06/18/15 03:45:00 AM,12.871,3.04,,,,
71,06/18/15 04:00:00 AM,12.847,3.04,,,,
72,06/18/15 04:15:00 AM,12.799,3.04,,,,
73,06/18/15 04:30:00 AM,12.775,3.04,,,,
74,06/18/15 04:45:00 AM,12.727,3.04,,,,
75,06/18/15 05:00:00 AM,12.703,3.04,,,,
76,06/18/15 05:15:00 AM,12.678,3.04,,,,
77,06/18/15 05:30:00 AM,12.630,3.04,,,,
78,06/18/15 05:45:00 AM,12.630,3.04,,,,
79,06/18/15 06:00:00 AM,12.606,3.04,,,,
80,06/18/15 06:15:00 AM,12.582,3.04,,,,
81,06/18/15 06:30:00 AM,12.606,3.04,,,,
82,06/18/15 06:45:00 AM,12.606,3.04,,,,
83,06/18/15 07:00:00 AM,12.606,3.04,,,,
84,06/18/15 07:15:00 AM,12.606,3.04,,,,
85,06/18/15 07:30:00 AM,12.678,3.04,,,,
86,06/18/15 07:45:00 AM,12.799,3.04,,,,
87,06/18/15 08:00:00 AM,12.920,3.04,,,,
88,06/18/15 08:15:00 AM,13.016,3.04,,,,
89,06/18/15 08:30:00 AM,13.016,3.04,,,,
90,06/18/15 08:45:00 AM,13.137,3.04,,,,
91,06/18/15 09:00:00 AM,13.112,3.04,,,,
92,06/18/15 09:15:00 AM,13.257,3.04,,,,
93,06/18/15 09:30:00 AM,13.449,3.04,,,,
94,06/18/15 09:45:00 AM,13.762,3.06,,,,
95,06/18/15 10:00:00 AM,14.050,3.06,,,,
96,06/18/15 10:15:00 AM,14.146,3.06,,,,
97,06/18/15 10:30:00 AM,14.218,3.06,,,,
98,06/18/15 10:45:00 AM,14.146,3.06,,,,
99,06/18/15 11:00:00 AM,14.290,3.06,,,,
100,06/18/15 11:15:00 AM,14.505,3.06,,,,
101,06/18/15 11:30:00 AM,14.864,3.06,,,,
102,06/18/15 11:45:00 AM,15.055,3.04,,,,
103,06/18/15 12:00:00 PM,15.438,3.04,,,,
104,06/18/15 12:15:00 PM,15.151,3.04,,,,
105,06/18/15 12:30:00 PM,15.103,3.04,,,,
106,06/18/15 12:45:00 PM,15.223,3.04,,,,
107,06/18/15 01:00:00 PM,15.223,3.04,,,,
108,06/18/15 01:15:00 PM,15.175,3.04,,,,
